observations,genes,batch_size,time,dimension,dimension_1,dimension_2
1.00E+06,1000,0.001,64464.254,full,1,1000
1.00E+06,1000,0.005,57233.532,full,1,1000
1.00E+06,1000,0.01,78994.12,full,1,1000
1.00E+06,1000,0.05,77308.249,full,1,1000
1.00E+06,1000,0.2,93971.954,full,1,1000
