observations,genes,batch_size,time,dimension,dimension_1,dimension_2
1.00E+06,1000,0.001,74987.406,default,23170,1000
1.00E+06,1000,0.005,74457.288,default,23170,1000
1.00E+06,1000,0.01,106665.155,default,23170,1000
1.00E+06,1000,0.05,118136.009,default,23170,1000
1.00E+06,1000,0.2,86051.763,default,23170,1000
