"observations","genes","batch_size","time","dimension","dimension_1","dimension_2"
5e+05,1000,0.001,57424.591,full,1,1000
5e+05,1000,0.005,39128.64,full,1,1000
5e+05,1000,0.01,66273.108,full,1,1000
5e+05,1000,0.05,48931.951,full,1,1000
5e+05,1000,0.2,45949.7,full,1,1000
