"observations","genes","batch_size","time","dimension","dimension_1","dimension_2"
5e+05,1000,0.001,83665.017,full,1,1000
5e+05,1000,0.005,77225.829,full,1,1000
5e+05,1000,0.01,89642.807,full,1,1000
5e+05,1000,0.05,16711.668,full,1,1000
5e+05,1000,0.2,17792.389,full,1,1000
