Data,Cells,Genes,Step,Method,B,Memory
tenx_pbmc68k,67991,6505,01_full cluster,mbkmeans,1,2890.898799tenx_pbmc68k,67991,6505,04_find optimal k,,1,601.539438607125
hca_bonemarrow,333253,7160,04_find optimal k,,1,1236.56291664707
hca_cordblood,329153,5861,04_find optimal k,,1,1278.85996728253
