data,run_id,observations,genes,step,method,batch,b,memory,mode,abs_batch
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,mbkmeans,0.00015,1,28166.09769,memory,75
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,hdf5,0.00015,1,17265.79759,memory,75
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,mbkmeans,3.00E-04,1,28166.05943,memory,150
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,hdf5,3.00E-04,1,17265.79759,memory,150
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,mbkmeans,6.00E-04,1,28179.02762,memory,300
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,hdf5,6.00E-04,1,17265.79759,memory,300
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,mbkmeans,0.002,1,28165.52383,memory,1000
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,hdf5,0.002,1,17265.79759,memory,1000
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,mbkmeans,0.003,1,28196.85892,memory,1500
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,hdf5,0.003,1,17265.79759,memory,1500
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,mbkmeans,0.006,1,28166.89631,memory,3000
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,hdf5,0.006,1,17265.79759,memory,3000
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,mbkmeans,0.015,1,28172.75389,memory,7500
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,hdf5,0.015,1,17265.79759,memory,7500
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,mbkmeans,0.02,1,28368.4142,memory,10000
TENxBrainData_500k,ruoxi_cluster,500000,5000,01_full_cluster,hdf5,0.02,1,17265.79753,memory,10000
